Date,JE,Account,Name,Debit,Credit,Memo
2026-07-05,JE-435,1300 Inventory - Green Coffee,Cafe Importadora SA,4380.00,,Bill IMP-2207 — 3 bags Huila
2026-07-05,JE-435,2000 Accounts Payable,Cafe Importadora SA,,4380.00,Bill IMP-2207 — 3 bags Huila
2026-07-19,JE-436,1300 Inventory - Green Coffee,Cafe Importadora SA,3120.00,,Bill IMP-2231 — 2 bags Sidamo
2026-07-19,JE-436,2000 Accounts Payable,Cafe Importadora SA,,3120.00,Bill IMP-2231 — 2 bags Sidamo
2026-07-12,JE-437,2000 Accounts Payable,Cafe Importadora SA,4380.00,,Pay bill IMP-2207
2026-07-12,JE-437,1002 Cash - Chase 1002,Cafe Importadora SA,,4380.00,Pay bill IMP-2207
2026-07-28,JE-438,2000 Accounts Payable,Cafe Importadora SA,3120.00,,Pay bill IMP-2231
2026-07-28,JE-438,1002 Cash - Chase 1002,Cafe Importadora SA,,3120.00,Pay bill IMP-2231
2026-07-15,JE-439,5000 Cost of Goods Sold,Shopify DTC customers,2910.00,,COGS relief — first half July
2026-07-15,JE-439,1300 Inventory - Green Coffee,Shopify DTC customers,,2910.00,COGS relief — first half July
2026-07-31,JE-440,5000 Cost of Goods Sold,Shopify DTC customers,3245.00,,COGS relief — second half July
2026-07-31,JE-440,1300 Inventory - Green Coffee,Shopify DTC customers,,3245.00,COGS relief — second half July
2026-07-07,JE-441,6100 Shipping & Supplies,Uline,240.00,,Boxes and mailers
2026-07-07,JE-441,1002 Cash - Chase 1002,Uline,,240.00,Boxes and mailers
2026-07-18,JE-442,6100 Shipping & Supplies,Bay Freight LLC,185.00,,LTL to Harbor Grocery
2026-07-18,JE-442,1002 Cash - Chase 1002,Bay Freight LLC,,185.00,LTL to Harbor Grocery
2026-07-25,JE-443,6100 Shipping & Supplies,Pacific Roasting Supply,312.40,,Valve bags
2026-07-25,JE-443,1002 Cash - Chase 1002,Pacific Roasting Supply,,312.40,Valve bags
2026-07-15,JE-444,6200 Payroll,Payroll (7 employees),6120.00,,Payroll 07/15 — net pay + withholdings
2026-07-15,JE-444,1002 Cash - Chase 1002,Payroll (7 employees),,4896.00,Payroll 07/15 — net pay + withholdings
2026-07-15,JE-444,2200 Payroll Taxes Payable,Payroll (7 employees),,1224.00,Payroll 07/15 — net pay + withholdings
2026-07-31,JE-445,6200 Payroll,Payroll (7 employees),6120.00,,Payroll 07/31 — net pay + withholdings
2026-07-31,JE-445,1002 Cash - Chase 1002,Payroll (7 employees),,4896.00,Payroll 07/31 — net pay + withholdings
2026-07-31,JE-445,2200 Payroll Taxes Payable,Payroll (7 employees),,1224.00,Payroll 07/31 — net pay + withholdings
2026-07-20,JE-446,2200 Payroll Taxes Payable,State Dept. of Revenue,1180.00,,Remit June withholdings
2026-07-20,JE-446,1002 Cash - Chase 1002,State Dept. of Revenue,,1180.00,Remit June withholdings
